company_dba,address_concat,latitude,longitude,rating,total_ratings,marta_density_score,user_rating_score,viability_score
Black Coffee Company,1800 Jonesboro Rd SE nan nan Atlanta GA 30315,33.704956087146,-84.377812419263,4.9,1139.0,16239.569431732281,6.397883377154872,3.0
Your 3rd Spot,400 Chattahoochee nan ROW Atlanta GA 30318,33.8044,-84.4868,4.6,3757.0,3882.0081839950735,6.244480116851673,2.928068432357976
BIG OOMP'S STUDIO KITCHEN,510 Fairburn  nan RD ATLANTA GA 30331,33.738895502751,-84.509154914184,4.7,581.0,4843.443382753108,5.999513802785448,2.813202483906524
Sammy’s Café,565 Northside Drive SW nan nan Atlanta GA 30310,33.740234008869,-84.408878015545,4.9,162.0,4457.152055844622,5.98397192615794,2.8059148190439513
Peoples Town Coffee Bar,55 Milton  nan AVE Atlanta GA 30315,33.723928818351,-84.386154927493,4.8,218.0,10165.610794583146,5.923413175123257,2.7775185132043103
The Vine Club of Atlanta,565 Northside Drive SW nan nan Atlanta GA 30310,33.740234008869,-84.408878015545,5.0,63.0,4457.152055844622,5.903089986991944,2.7679888671010935
Holy Smokin BBQ and Cajun Cuisine,1801 Delowe DR Atlanta GA 30311,33.70582667352,-84.457643341486,5.0,54.0,21767.110318770254,5.870181344747122,2.7525578376629842
TED'S MONTANA GRILL,2250 MARIETTA BLVD ATLANTA GA 30318,33.805857227128,-84.463820240026,4.5,1005.0,21105.682968764595,5.851169091323959,2.743642895500526
Red Fire Kebabs,1990 Perkerson Rd SW nan nan Atlanta GA 30310,33.700534800859,-84.417017430261,4.4,1877.0,6823.728354958722,5.840426058689241,2.7386054329517027
SLIM AND HUSKY'S,581 METROPOLITAN PKWY ATLANTA GA 30310,33.738973789727,-84.408454897072,4.4,1677.0,11512.896226780893,5.818908460856781,2.728515722075153
Cafexito Mexican Coffee Shop,900 MURPHY Avenue Atlanta GA nan,33.730350697288,-84.414038501873,4.8,117.0,1882.2189516844408,5.79450336350694,2.717072048013985
Ryokou,565 Northside Drive SW nan nan Atlanta GA 30310,33.740234008869,-84.408878015545,5.0,37.0,4457.152055844622,5.789891798308405,2.7149096616777473
MISTER SOFTEE ATLANTA,1990 Perkerson nan RD Atlanta GA 30310,33.700534800859,-84.417017430261,4.5,575.0,6823.728354958722,5.742190117540446,2.692542101366337
GUARDIAN WORKS,775 ECHO nan ST ATLANTA GA 30318,33.775366622326,-84.410350256921,4.7,148.0,4307.375204260273,5.72139754615377,2.682792359071446
BELIEVE,183 RALPH D ABERNATHY BLVD ATLANTA GA 30312,33.737082497094,-84.393784387221,4.4,1006.0,20086.908769408543,5.721332967043592,2.6827620775987913
Pallet Pastries,1170 MCDANIEL Street Atlanta GA 30310,33.723077636083,-84.401447123104,4.8,69.0,10387.268020298092,5.685647059206843,2.6660287742234097
"Rickette's World Famous Chicken , Fish , and BBQ",2740 Greenbriar Pkw nan PKWY Atlanta GA 30331,33.688594989334,-84.488609696035,4.4,741.0,9657.805930489301,5.6629777183227725,2.6553990051821277
Ideal Sports Bar,1953 LAKEWOOD AVE Atlanta GA 30315,33.702800890292,-84.384556833834,4.5,368.0,15969.698466904687,5.655161864771577,2.651734111767954
The Corner Grille Upper West Side,2341 MARIETTA BLVD Atlanta GA nan,33.805855595702,-84.464554554576,4.6,193.0,8960.177947359265,5.652388795767903,2.6504338056322205
BEE GLAD,441 ROCKWELL ST Atlanta GA nan,33.731976590231,-84.401919518287,4.8,51.0,60702.99173703525,5.623681604944704,2.6369728580980536
Westside Motor Lounge,"705 Echo Street, NW nan nan Atlanta GA 30318",33.774150682646,-84.410353024066,4.4,557.0,9550.567728626896,5.6085190475325355,2.6298630579415008
Terroir Wine,565 Northside Drive SW nan nan Atlanta GA 30310,33.740234008869,-84.408878015545,4.4,476.0,4457.152055844622,5.5785480867776505,2.615809522269733
Ira Lane Coffee,315 Deshler nan ST Atlanta GA 30310,33.711214854248,-84.434557736122,5.0,12.0,3291.353047341238,5.5569716761534185,2.605692233776506
J&J Fish and Chicken,2841 Greenbriar Pkwy nan PKWY Atlanta GA 30331,33.686618033651,-84.495719393946,4.4,368.0,12714.22648410407,5.529491601109987,2.5928066870619992
Willie B's Sisters Southern Cuisine,1990 Perkerson Rd SW nan nan Atlanta GA 30310,33.700474744523,-84.416933862687,4.3,695.0,6412.4912707605135,5.5223219730325415,2.5894448120535962
Life Bistro,2036 Sylvan nan RD Atlanta GA 30310,33.699041355261,-84.417869199262,4.2,1389.0,28245.941790871017,5.520066216106721,2.588387076177755
OMG! That's Good!,2002 Campbellton nan RD Atlanta GA 30311,33.706497016226,-84.455345023635,4.7,49.0,14914.237157189576,5.498515902037928,2.5782820244918763
Sassy's,900 MURPHY Avenue Atlanta GA 30310,33.730234188833,-84.41406381522,5.0,7.0,1865.7525732421586,5.451544993495972,2.5562571269876435
Avenue,587 North Avenue NW Atlanta Georgia 30318 nan nan nan nan nan,33.770226428178,-84.407117899697,4.5,126.0,6955.529885575565,5.446711674430181,2.553990759137122
Wing Lover,2053 SYLVAN Road Atlanta GA nan,33.69849347216,-84.418691128687,4.3,432.0,9984.230258615153,5.433689795431947,2.547884733957889
BWT FOOD TRUCK,1990 Perkerson RD SW nan nan Atlanta GA 30310,33.700474744523,-84.416933862687,5.0,6.0,6412.4912707605135,5.4225490200071285,2.542660767795299
MERIDA,1990 Perkerson Rd SW nan nan Atlanta GA 30310,33.700534800859,-84.417017430261,5.0,6.0,6823.728354958722,5.4225490200071285,2.542660767795299
Dreaming Sweets,2945 Stone Hogan Connector nan nan Atlanta GA 30331,33.675598387455,-84.497600376838,5.0,6.0,15181.16744271484,5.4225490200071285,2.5426607677952986
American Deli,"2685 Metropolitan Pkwy SW, Suite H-3 nan nan ATLANTA GA 30315",33.682657416762,-84.409021094632,4.2,790.0,8418.542585110965,5.417234123069024,2.5401685856352976
American Deli,1624 Donald Lee Hollowell PKWY Atlanta GA 30318,33.772270816272,-84.441362919491,4.2,790.0,19118.41801687617,5.417234123069024,2.5401685856352976
Atlanta dream wings,1980 DELOWE Drive Atlanta GA nan,33.701056113327,-84.456906907473,4.3,387.0,23275.064551947187,5.413197642005509,2.5382758591698873
"Hungry AF USA, Inc. d/b/a",2740 Greenbriar Parkway SW B14 nan nan Atlanta GA 30331,33.688594989334,-84.488609696035,4.3,369.0,9657.805930489301,5.404326741348807,2.5341162488110727
Rodney Scott's BBQ,668 Metropolitan Parkway nan nan Atlanta GA 30310,33.736483442474,-84.407683175247,4.1,1496.0,14032.39142987729,5.401840938140651,2.532950643065414
AMERICAN DELI,3565 MARTIN LUTHER KING JR DR SW UNIT 8 nan nan ATLANTA GA 30331,33.759178995974,-84.504399022322,4.3,347.0,11030.810835941873,5.39287907489703,2.5287483798877406
HAPPY WING'S & THINGS LLC,2760 DONALD LEE HOLLOWELL PKWY Atlanta GA nan,33.777963092447,-84.477777678742,4.3,295.0,42368.979459141876,5.362655435755343,2.5145763620374586
American Wings & Seafood,387 Cleveland Ave nan nan Atlanta GA 30315,33.681710261703,-84.402275422775,4.2,465.0,20877.833698471073,5.3207220850098,2.494913600961534
Trap City Cafe,660 Northside nan DR Atlanta GA 30318,33.772447339153,-84.408666540128,4.0,1970.0,20439.73606539933,5.3178746497117775,2.4935784240927945
Soul Good Fine Food,890 JOSEPH E BOONE BLVD Atlanta GA nan,33.763239608967,-84.416730266258,4.1,753.0,28390.18844257515,5.279722251806607,2.4756885710010357
Sauced Up ATL,1959 Lakewood Avenue SE Atlanta Georgia 30315 nan nan nan nan nan,33.702509241971,-84.384881464944,4.4,84.0,15827.683618881942,5.248944327314289,2.461256645935528
Spiller Park Coffee,2275 Marietta nan BLVD Atlanta GA 30318,33.80589517271,-84.464316277984,4.3,151.0,11094.208402906772,5.238192742816252,2.4562151733745736
ELLERY'S,2008 CAMPBELLTON RD ATLANTA GA 30311,33.706497016226,-84.455345023635,4.1,577.0,14914.237157189576,5.232390413752417,2.4534944318159417
Mustard Seed BBQ Cascade,826 WESTMONT Road Atlanta GA nan,33.732788029002,-84.437119078095,4.2,275.0,17936.765383881062,5.225181814467392,2.450114283010433
subway,2151 CAMPBELLTON Road Atlanta GA nan,33.706131858614,-84.459013279741,4.2,264.0,23784.966342611646,5.21776326705346,2.4466356884612943
MR PIGS SMOKEHOUSE,1992 DONALD LEE HOLLOWEL PKWY ATLANTA GA 30318,33.776514657669,-84.450153021352,4.0,1070.0,27154.013873817927,5.2119157883327425,2.4438937759993085
Dips Kitchen,1990 Perkerson Road nan nan Atlanta GA 30310,33.700534800859,-84.417017430261,4.5,31.0,6823.728354958722,5.177317490243958,2.427670458356949
Barrio ATL,2310 Cascade Road SW Atlanta Georgia 30311 nan nan nan nan nan,33.722361947281,-84.463041119493,4.2,207.0,10318.186342557847,5.17358660068436,2.425921025299329
Randy's Donuts,1990 PERKERSON Road Atlanta GA 30310,33.700474744523,-84.416933862687,4.3,96.0,6412.4912707605135,5.154311845734486,2.4168829948381774
Vine City Food Mart,901 Joseph E Boone NW Atlanta Georgia 30314 nan nan nan nan nan,33.763760292793,-84.417081300363,5.0,1.0,23688.598004395208,5.150514997831991,2.4151026335786767
C & J SPORTS BAR 2,1917 PRYOR RD ATLANTA GA 30315,33.702064037184,-84.399537306465,4.1,324.0,12980.36182898399,5.129872178001338,2.40542311054875
656 SPORTS BAR & GRILLE,656 PRYOR ST ATLANTA GA 30312,33.736986314755,-84.39438260365,3.8,2582.0,38348.28835839483,5.09660727434586,2.3898250283263116
I LOVE WING,3030 HEADLAND 1100 nan DR ATLANTA GA 30311,33.688614561078,-84.487639155466,4.0,453.0,9347.19684482238,5.062822341142842,2.3739831016086463
Metro Wing,1880 METROPOLITAN Parkway Atlanta GA nan,33.703068775918,-84.407722570192,4.1,213.0,51179.29114817798,5.055469647073168,2.370535386026993
Bankhead Seafood,1651 Donald Lee Hollowell nan PKWY Atlanta GA 30318,33.772986379346,-84.441739686039,4.0,381.0,45688.0705355869,5.032825345164683,2.3599173578884955
JR Crickets Cascade,2348 Cascade Rd nan nan Atlanta GA 30311,33.721430005376,-84.465176493146,3.8,1442.0,11858.095366825071,5.000521205815528,2.3447697829274525
CRUCIAL RESTAURANT & LOUNGE,2517 DONALD L HOLLOWELL PKWY ATLANTA GA 30318,33.776184452593,-84.468181656892,4.2,65.0,12405.472833714883,4.964208452927585,2.3277425487248387
US Deli,902 DONALD LEE HOLLOWELL PKWY Atlanta GA 30318,33.772710991918,-84.416822970108,4.1,91.0,25524.306828618108,4.905153009211677,2.3000511513198245
Shell Food Mart,"2477 Metropolitan Parkway, SW nan nan Atlanta GA 30315",33.68709244937,-84.408658242043,4.0,173.0,6749.868419949351,4.89621969931304,2.295862276950591
La Neta Mexican Food,1990 Perkerson Rd SW Ste 24 nan nan Atlanta GA 30310,33.700534800859,-84.417017430261,4.2,37.0,6823.728354958722,4.86350911057906,2.2805241158093077
MARQUETTE CLUB,868 Joseph E. Boone BLVD ATLANTA GA 30318,33.763135673368,-84.416121740088,3.9,164.0,15086.05616294334,4.764818738243424,2.2342476991331144
Little Caesars Pizza,2905 CAMPBELLTON RD ATLANTA GA 30047,33.698288157442,-84.483900156097,3.8,323.0,31536.916966203837,4.7540071038785126,2.2291780688846874
Z! Eats / Zoup! Eatery,2250 MARIETTA Boulevard Atlanta GA nan,33.805857227128,-84.463820240026,4.0,54.0,21105.682968764595,4.6961450757976975,2.2020462701303876
Corner Store On Wheels,2784 Lakewood Lakewood AVE Atlanta GA 30315,33.696990303554,-84.409524679375,4.3,6.0,7934.87165980953,4.66339215720613,2.186688260303957
La Zacatecana,1990 Perkerson RD SW nan nan Atlanta GA 30310,33.700534800859,-84.417017430261,4.1,18.0,6823.728354958722,4.62428897639066,2.1683525802780763
Starbucks Coffee#68261,2414 MARIETTA BLVD Atlanta GA 30318,33.804784973061,-84.467260234275,3.9,54.0,126525.13687350627,4.578741448902755,2.1469951133771277
MOTEL 6,3701 JONESBORO nan RD ATLANTA GA 30354,33.653014019901,-84.368456036024,3.9,52.0,1737.038459615588,4.572467589144307,2.144053268681654
Oakland City Food Mart,976 oakland dr sw nan nan atlanta GA 30310,33.728279277556,-84.42690103521,4.1,9.0,27406.543631593657,4.51,2.114761898960523
American Deli,1624 Donald Lee Hollowell PKWY Atlanta GA 30318,33.772270816272,-84.441362919491,3.6,288.0,19118.41801687617,4.485923223392358,2.10347217616238
American Deli,"2685 Metropolitan Pkwy SW, Suite H-3 nan nan ATLANTA GA 30315",33.682657416762,-84.409021094632,3.6,288.0,8418.542585110965,4.485923223392358,2.1034721761623794
Great American Cookie/PretzelMaker,2841 Greenbriar Pkwy SW Space N-425 nan nan Atlanta GA 30331,33.686618033651,-84.495719393946,3.8,56.0,12714.22648410407,4.467232445155547,2.0947079753470517
AMERICAN DELI,3565 MARTIN LUTHER KING JR DR SW UNIT 8 nan nan ATLANTA GA 30331,33.759178995974,-84.504399022322,3.7,77.0,11030.810835941873,4.400075002995479,2.063217509734689
FISH CLUB,2841 Greenbriar Pkwy SW nan nan Atlanta GA 30331,33.686618033651,-84.495719393946,3.9,17.0,12714.22648410407,4.389556276990289,2.0582852257033406
HISTORIC DON CLENDENON SUPPER CLUB & WILLIAMS TAVERN,899 MARTIN L KING JR DR ATLANTA GA 30314,33.754974465703,-84.417031511859,3.5,267.0,25451.91151117887,4.3498471779100765,2.039665427526648
EXXON FOOD MART,1163 METROPOLITAN Parkway Atlanta GA nan,33.723193138709,-84.4081564175,3.6,90.0,13142.363777333901,4.305254901235594,2.0187558825822802
