company_name,google_name,rating,total_ratings,review_count,status
Glaciers Italian Ice,Glaciers Italian Ice,4.9,207,5,success
Dream Provisions,Dream Provisions,,,0,success
I LOVE WING,I Love Wings,4,453,5,success
MOTEL 6,"Motel 6 Atlanta, GA Atlanta Airport East",3.9,52,5,success
Ira Lane Coffee,Ira Lane Co-Fe,5,12,5,success
Curated Coffee Books & Plants LLC,324 Climax St SE,,,0,success
Great American Cookie/PretzelMaker,Great American Cookies,3.8,56,5,success
EAT URBAN FRESH LLC,Eat Urban Fresh,,,0,success
Vine City Food Mart,Vine City Food Mart,5,1,1,success
TAQUERIA EL MARIACHI LLC,,,,0,not_found
Motion Sports Bar & Lounge,Motion lounge sports bar & grill,3.5,8,5,success
Omakase Table LLC,Neko Omakase,4.8,8,5,success
McDonald's,McDonald's,3.2,2162,5,success
Hardin Retail Management LLC,2179 Verbena St NW,,,0,success
La Jefa Empanadas,La Jefa Empanadas,5,140,5,success
US Deli,US Deli,4.1,91,5,success
404 CoffeeLLC,404 Coffee,4.5,272,5,success
Your 3rd Spot,Your 3rd Spot,4.6,3757,5,success
3 Little Chicks,,,,0,not_found
Clean Daddy Kitchen & BBQ,Daddy D'z BBQ Joynt,3.9,1751,5,success
J&J Fish and Chicken,JJ’s fish and chicken,4.4,368,5,success
CheRene Macarons and more,ChéRené Macarons,5,62,5,success
Church's Chicken 725,Church's Texas Chicken,3.3,1023,5,success
Backyard Grill LLC,Back Yard Grill,4.2,167,5,success
FowlPlayAtl LLC,,,,0,not_found
Lindsey Catering,,,,0,not_found
Dreaming Sweets,Dreaming Sweets,5,6,5,success
Lee Street Meats LLC,Lee Street Meats,,,0,success
Pallet Pastries,Pastry Depot,4.8,69,5,success
Cafexito Mexican Coffee Shop,Cafexito Mexican Coffee Shop,4.8,117,5,success
SOW ATL2,2061 Donald Lee Hollowell Pkwy NW,,,0,success
American Deli,American Deli,4.2,790,5,success
Black Coffee Company,Black Coffee Atlanta,4.9,1139,5,success
BIG OOMP'S STUDIO KITCHEN,BOSK,4.7,581,5,success
District 12 Social Lounge,Distict 12 Lounge,,,0,success
Willie B's Sisters Southern Cuisine,Willie B's Sisters Southern Cuisine,4.3,695,5,success
EXXON FOOD MART,Exxon,3.6,90,5,success
Terroir Wine,Terra Terroir,4.4,476,5,success
The Vine Club of Atlanta,Vin ATL,5,63,5,success
943 Washington Street LLC,Central Outreach and Advocacy Center,4.6,68,5,success
"1888 ENTERPRISES, LLC",2100 Metropolitan Pkwy SW,,,0,success
Chappell's Sweets And Treats LLC,Sweet Cheats,4.5,475,5,success
ABERNATHY BP,bp,3.5,24,5,success
KRYSTAL RESTAURANTS LLC-ATL043,Krystal,3.3,2191,5,success
Ideal Sports Bar,Ideal Sportsbar,4.5,368,5,success
GUARDIAN WORKS,Guardian Works,4.7,148,5,success
"A & M Super Thrift Food Mart, LLC",Super Thrift Food Store,4.4,16,5,success
Desta Xpress Ethiopian Kitchen,Desta Ethiopian Kitchen Westside,4.8,504,5,success
subway,Subway,4.2,264,5,success
Ricks Raging Q LLC,Rick's Raging Q,2.8,5,5,success
American Deli,American Deli,3.6,288,5,success
Simplicity Beverage Company,817 Harwell Rd NW,,,0,success
"The Herb Shop of Vinings, Inc.",Herb Shop of Vinings,4.8,183,5,success
BWT FOOD TRUCK,GAS Food Truck ATL,5,6,5,success
BEE GLAD,Bee Glad Lounge,4.8,51,5,success
Wing Lover,Wing Lover,4.3,432,5,success
Mustard Seed BBQ Cascade,Mustard Seed BBQ Cascade,4.2,275,5,success
Atlanta dream wings,Atlanta Dream Wings,4.3,387,5,success
Z! Eats / Zoup! Eatery,Z!Eats,4,54,5,success
Rhinehart Farms LLC,Rhinehart Farmer's Market Store,4.7,26,5,success
Sap's Services LLC,SAP America Inc. - Atlanta,4.6,18,5,success
Waylow Street Tacos,Waylow Street Tacos,4.5,283,5,success
Cooking With Love LLC,PREP Kitchens ATL South,5,6,5,success
King James RG LLC,Chillz Restaurant and Bar,4,383,5,success
"Collins Bartending, LLC",,,,0,not_found
3120 The Bank,The Vault Hidden Inside the Bank,4.3,981,5,success
Metro Wing,Metro Wing,4.1,213,5,success
Barrio ATL,Barrio Atl,4.2,207,5,success
"Hungry AF USA, Inc. d/b/a",Hungry AF Greenbriar,4.3,369,5,success
Randy's Donuts,Randy’s Donuts,4.3,96,5,success
St D'Acre's Carribean Kitchen,Miss Conduck,4.9,1595,5,success
Ryokou,Ryokou,5,37,5,success
Dajuh sawyer enterprises llc,110 Dogwood Dr NW,,,0,success
Bankhead Seafood,Bankhead Seafood 1,4,381,5,success
Welcome Foods McDaniel,McDaniel Convenience - Welcome Foods,3.6,12,5,success
OMS ATLANTA CAMPBELLTON INC,Atlanta Oral & Maxillofacial Surgery and Dental Implant Center,5,81,5,success
Oakland City Food Mart,Oakland Food Mart,4.1,9,5,success
Spiller Park Coffee,"Spiller Park Coffee ""SP3""",4.3,151,5,success
Eggroll Daddy LLC,EggRoll Boyz,4.6,104,5,success
Corner Store On Wheels,Polar Rock Lakewood Grocery,4.3,6,5,success
Peoples Town Coffee Bar,Peoples Town Coffee Bar,4.8,218,5,success
Travel INN,Travel Inn Atlanta,3,447,5,success
Double Scoop Ice Cream Cascade,Double Scoop Ice Cream Atlanta (Drive-Thru Only),4.8,118,5,success
BEAUTIFUL RESTAURANT,The Beautiful Restaurant,4.2,3311,5,success
LA CHIQUITA TORTILLA MFG,La Chiquita Tortilla,4,43,5,success
CAPTAIN DS #3673,Captain D's,3.7,1509,5,success
J R'S LOUNGE,J R's Lounge,3.5,77,5,success
PETRO STOPPING CENTERS,Petro Travel Center,3.2,2427,5,success
WENDY'S OLD FASHIONED HAMBURGE,Wendy's,3.7,1584,5,success
"LEGENDARY EVENTS, INC",,,,0,not_found
CHECKERS DRIVE-IN REST INC,Checkers,3.1,908,5,success
ATLANTA WINGS,Atlanta Wings,4.2,422,5,success
BIG DADDY'S CAFE,Big Daddy's Cafe,4.3,995,5,success
